,song,debut,peak_date,peak_position,weeks_in_top
0,You Belong With Me,11.22.08,08.22.09,2,50
1,Shake It Off,09.06.14,09.06.14,1,50
2,Love Story,09.27.08,01.17.09,4,49
3,Teardrops On My Guitar,03.24.07,03.01.08,13,48
4,Our Song,10.13.07,01.19.08,16,36
5,Blank Space,11.15.14,11.29.14,1,36
6,I Knew You Were Trouble.,10.27.12,01.12.13,2,36
7,Delicate,03.24.18,07.28.18,12,35
8,Style,11.15.14,03.21.15,6,32
9,Wildest Dreams,11.15.14,11.07.15,5,27
10,Bad Blood Featuring Kendrick Lamar,11.15.14,06.06.15,1,25
11,We Are Never Ever Getting Back Together,08.25.12,09.01.12,1,24
12,I Don't Wanna Live Forever (Fifty Shades Darker),12.31.16,03.04.17,2,23
13,Mine,08.21.10,08.21.10,3,23
14,White Horse,11.29.08,11.29.08,13,22
15,Red,10.20.12,10.20.12,6,22
16,Lover,08.31.19,09.07.19,10,22
17,You Need To Calm Down,06.29.19,06.29.19,2,21
18,Two Is Better Than One,09.26.09,01.30.10,18,21
19,Fifteen,11.29.08,12.19.09,23,21
20,Sparks Fly,11.13.10,11.13.10,17,20
21,Tim McGraw,09.23.06,01.13.07,40,20
22,Should've Said No,06.07.08,08.09.08,33,20
23,Picture To Burn,03.01.08,05.17.08,28,20
24,Back To December,10.30.10,10.30.10,6,20
25,Mean,11.06.10,11.06.10,11,20
26,Begin Again,10.13.12,10.13.12,7,20
27,Everything Has Changed Featuring Ed Sheeran,11.10.12,10.26.13,32,20
28,Ours,11.26.11,11.26.11,13,20
29,Look What You Made Me Do,09.09.17,09.16.17,1,20
30,...Ready For It?,09.23.17,09.23.17,4,20
31,22,11.10.12,05.11.13,20,20
32,Highway Don't Care,02.23.13,06.08.13,22,20
33,ME! Featuring Brendon Urie,05.04.19,05.11.19,2,20
34,Willow,12.26.20,12.26.20,1,20
35,Lavender Haze,11.05.22,11.05.22,2,20
36,Anti-Hero,11.05.22,11.05.22,1,20
37,Both Of Us,05.19.12,05.19.12,18,19
38,Today Was A Fairytale,02.06.10,02.06.10,2,18
39,Safe & Sound Featuring The Civil Wars,01.07.12,01.07.12,30,17
40,Fearless,11.01.08,11.01.08,9,15
41,All Too Well (Taylor's Version),11.27.21,11.27.21,1,15
42,Cardigan,08.08.20,08.08.20,1,14
43,End Game Featuring Ed Sheeran & Future,12.09.17,01.27.18,18,14
44,Message In A Bottle (Taylor's Version) (From The Vault),11.27.21,11.27.21,45,13
45,Eyes Open,04.07.12,04.07.12,19,13
46,The Story Of Us,11.13.10,11.13.10,41,12
47,Out Of The Woods,11.01.14,11.01.14,18,10
48,Bejeweled,11.05.22,11.05.22,6,9
49,Midnight Rain,11.05.22,11.05.22,5,8
50,New Romantics,03.21.15,04.30.16,46,8
51,Crazier,04.11.09,05.02.09,17,8
52,The Man,09.07.19,09.07.19,23,8
53,Maroon,11.05.22,11.05.22,3,7
54,Vigilante Shit,11.05.22,11.05.22,10,6
55,"You're On Your Own, Kid",11.05.22,11.05.22,8,6
56,Karma,11.05.22,11.05.22,9,6
57,Snow On The Beach Featuring Lana Del Rey,11.05.22,11.05.22,4,6
58,The 1,08.08.20,08.08.20,4,6
59,Exile Featuring Bon Iver,08.08.20,08.08.20,6,5
60,You're Not Sorry,11.15.08,11.15.08,11,5
61,Sweet Nothing,11.05.22,11.05.22,15,5
62,Christmas Tree Farm (Old Timey Version),12.11.21,01.01.22,62,5
63,Mastermind,11.05.22,11.05.22,13,5
64,Question...?,11.05.22,11.05.22,7,5
65,Labyrinth,11.05.22,11.05.22,14,5
66,Bigger Than The Whole Sky,11.05.22,11.05.22,21,4
67,"Would've, Could've, Should've",11.05.22,11.05.22,20,4
68,The Great War,11.05.22,11.05.22,26,4
69,Gorgeous,11.11.17,11.11.17,13,4
70,Speak Now,10.23.10,10.23.10,8,3
71,Change,08.30.08,08.30.08,10,3
72,Jump Then Fall,11.14.09,11.14.09,10,3
73,Forever & Always,11.29.08,11.14.09,34,3
74,The Archer,08.03.19,09.07.19,38,3
75,Mr. Perfectly Fine (Taylor's Version) (From The Vault),04.17.21,04.24.21,30,3
76,Paris,11.05.22,11.05.22,32,3
77,High Infidelity,11.05.22,11.05.22,33,3
78,The Joker And The Queen,02.26.22,02.26.22,21,3
79,Glitch,11.05.22,11.05.22,41,2
80,Dear Reader,11.05.22,11.05.22,45,2
81,State Of Grace (Taylor's Version),11.27.21,11.27.21,18,2
82,Champagne Problems,12.26.20,12.26.20,21,2
83,"No Body, No Crime Featuring HAIM",12.26.20,12.26.20,34,2
84,'Tis The Damn Season,12.26.20,12.26.20,39,2
85,Betty,08.08.20,08.08.20,42,2
86,I Bet You Think About Me (Taylor's Version) (From The Vault) Featuring Chris Stapleton,11.27.21,11.27.21,22,2
87,Love Story (Taylor's Version),02.27.21,02.27.21,11,2
88,You All Over Me (Taylor's Version) (From The Vault) Featuring Maren Morris,04.10.21,04.10.21,51,2
89,Red (Taylor's Version),11.27.21,11.27.21,25,2
90,I Forgot That You Existed,09.07.19,09.07.19,28,2
91,August,08.08.20,08.08.20,23,2
92,Invisible String,08.08.20,08.08.20,37,2
93,The Last Great American Dynasty,08.08.20,08.08.20,13,2
94,Mirrorball,08.08.20,08.08.20,26,2
95,Seven,08.08.20,08.08.20,35,2
96,My Tears Ricochet,08.08.20,08.08.20,16,2
97,Babe,05.05.18,05.05.18,72,2
98,Cruel Summer,09.07.19,09.07.19,29,2
99,Untouchable,11.14.09,11.14.09,19,2
100,The Other Side Of The Door,11.14.09,11.14.09,23,2
101,Haunted,11.13.10,11.13.10,63,2
102,Ronan,09.22.12,09.22.12,16,2
103,If This Was A Movie,11.26.11,11.26.11,10,2
104,Call It What You Want,11.25.17,11.25.17,27,2
